point_id	scenario	seed	cum_E_adult	cum_E_child	cum_I_adult	cum_I_child	cum_R_adult	cum_R_child	cum_S_adult	cum_S_child	final_E_adult	final_E_child	final_I_adult	final_I_child	final_R_adult	final_R_child	final_S_adult	final_S_child	peak_E_adult	peak_E_child	peak_I_adult	peak_I_child	peak_R_adult	peak_R_child	peak_S_adult	peak_S_child	tpeak_E_adult	tpeak_E_child	tpeak_I_adult	tpeak_I_child	tpeak_R_adult	tpeak_R_child	tpeak_S_adult	tpeak_S_child
4622	baseline	3	14421	14150	20337	20128	444344	447061	25898	23661	0	0	0	0	5000	5000	0	0	2680	2679	2006	2051	5000	5000	5000	4990	6	6	9	8	43	44	0	0
4623	baseline	1	11821	12051	37002	36960	387998	394394	68179	61595	0	0	0	0	4999	5000	1	0	1437	1414	2362	2359	4999	5000	5000	4990	15	14	19	18	80	71	0	0
4623	baseline	2	11906	11741	37254	37235	392849	398956	62991	57068	0	0	0	0	4999	5000	1	0	1415	1472	2402	2464	4999	5000	5000	4990	14	13	18	16	94	73	0	0
4623	baseline	3	12124	11881	38025	36642	392151	398660	62700	57817	0	0	0	0	5000	5000	0	0	1431	1517	2422	2437	5000	5000	5000	4990	14	13	18	16	71	88	0	0
4624	baseline	1	9849	9813	25737	25692	431414	435386	38000	34109	0	0	0	0	5000	5000	0	0	1851	1910	2481	2492	5000	5000	5000	4990	8	8	11	10	57	48	0	0
4624	baseline	2	10115	9980	25766	25815	434705	438070	34414	31135	0	0	0	0	5000	5000	0	0	1896	2041	2425	2510	5000	5000	5000	4990	8	7	10	9	52	55	0	0
4624	baseline	3	10248	10077	25857	26078	434123	437564	34772	31281	0	0	0	0	5000	5000	0	0	1989	1992	2457	2430	5000	5000	5000	4990	8	7	10	9	51	57	0	0
4625	baseline	1	8326	8132	17604	17920	428702	434198	50368	44750	0	0	0	0	4995	5000	5	0	1367	1362	1881	1975	4995	5000	5000	4990	11	10	13	12	41	47	0	0
4625	baseline	2	8439	8182	17872	17925	432137	437021	46552	41872	0	0	0	0	4998	4999	2	1	1347	1422	1891	2019	4998	4999	5000	4990	10	9	12	11	45	37	0	0
4625	baseline	3	8720	8375	18139	17863	431706	437108	46435	41654	0	0	0	0	4993	4999	7	1	1410	1429	1901	1960	4993	4999	5000	4990	10	9	12	11	44	36	0	0
4626	baseline	1	7002	6987	45899	44578	427588	431506	24511	21929	0	0	0	1	5000	4999	0	0	2065	2074	3424	3361	5000	4999	5000	4990	5	5	8	7	80	77	0	0
4626	baseline	2	7200	6987	45766	44509	428001	431454	24033	22050	0	0	0	0	5000	5000	0	0	2057	2126	3392	3410	5000	5000	5000	4990	5	5	8	7	92	94	0	0
4626	baseline	3	7081	7068	45627	46079	430093	431661	22199	20192	0	0	1	0	4999	5000	0	0	2086	1969	3430	3469	4999	5000	5000	4990	5	5	7	7	73	90	0	0
4627	baseline	1	5744	5806	31526	31334	418477	423191	49253	44669	0	0	0	0	5000	4999	0	1	1075	1123	2734	2848	5000	4999	5000	4990	10	10	13	12	77	61	0	0
4627	baseline	2	5942	5777	31320	31668	422492	426647	45246	40908	0	0	0	0	4999	5000	1	0	1069	1141	2756	2836	4999	5000	5000	4990	10	9	12	11	60	69	0	0
4627	baseline	3	6041	5909	31451	31095	423732	427560	43776	40436	0	0	0	0	5000	5000	0	0	1087	1209	2735	2777	5000	5000	5000	4990	9	9	12	11	60	65	0	0
4628	baseline	1	47708	48680	21720	22203	373141	378104	62431	56013	0	1	0	1	5000	4998	0	0	2999	3041	1081	1074	5000	4998	5000	4990	15	15	20	18	97	92	0	0
4628	baseline	2	48924	47520	21761	21432	374085	382799	60230	53249	0	0	1	1	4999	4999	0	0	2994	3095	1044	1097	4999	4999	5000	4990	15	14	19	18	95	91	0	0
4628	baseline	3	49592	49048	21935	21825	373610	379804	59863	54323	1	1	0	0	4999	4999	0	0	3005	3082	1026	1053	4999	4999	5000	4990	16	14	18	18	96	89	0	0
4629	baseline	1	40248	40718	39836	40678	353588	359873	71328	63731	0	0	1	2	4999	4998	0	0	2752	2762	1700	1696	4999	4998	5000	4990	17	16	23	22	97	99	0	0
4629	baseline	2	40808	40221	39956	40336	357536	364005	66700	60438	0	0	2	0	4998	5000	0	0	2694	2839	1693	1706	4998	5000	5000	4990	17	15	22	20	98	88	0	0
4629	baseline	3	41777	40498	40477	40050	355133	363935	67613	60517	1	0	1	0	4998	5000	0	0	2804	2816	1656	1708	4998	5000	5000	4990	17	15	23	20	100	96	0	0
4630	baseline	1	33185	34094	27576	28582	405612	409231	38627	33093	0	0	0	0	5000	5000	0	0	3157	3192	1603	1623	5000	5000	5000	4990	9	9	14	13	75	78	0	0
4630	baseline	2	33939	33412	28395	27950	404879	410405	37787	33233	0	0	0	0	5000	5000	0	0	3147	3192	1593	1658	5000	5000	5000	4990	9	9	13	12	82	90	0	0
4630	baseline	3	34411	34350	28083	28041	405204	408782	37302	33827	0	0	0	0	5000	5000	0	0	3129	3246	1553	1559	5000	5000	5000	4990	10	9	13	14	69	73	0	0
4631	baseline	1	28277	27847	19246	19330	351327	365371	106150	92452	0	0	0	0	4974	4997	26	3	1758	1817	1046	1035	4974	4997	5000	4990	23	22	27	25	76	70	0	0
4631	baseline	2	28613	28070	19382	19415	356444	367892	100561	89623	0	0	0	0	4981	4996	19	4	1744	1843	990	1112	4981	4996	5000	4990	23	21	26	24	89	87	0	0
4631	baseline	3	28996	28473	19469	19306	360809	373374	95726	83847	0	0	0	0	4976	4996	24	4	1810	1886	1014	1072	4976	4996	5000	4990	22	20	26	24	74	68	0	0
4632	baseline	1	23279	23654	36111	35199	400157	406309	45453	39838	0	0	0	0	5000	5000	0	0	2671	2629	2150	2059	5000	5000	5000	4990	11	10	15	14	78	67	0	0
4632	baseline	2	24231	24009	35903	35077	401233	406690	43633	39224	0	0	0	0	5000	5000	0	0	2602	2699	2052	2114	5000	5000	5000	4990	11	10	15	15	89	90	0	0
4632	baseline	3	24274	24364	35852	35723	401257	405199	43617	39714	0	0	0	0	5000	5000	0	0	2665	2754	2056	2078	5000	5000	5000	4990	11	10	15	14	69	73	0	0
4633	baseline	1	19898	19835	24482	24746	397951	404112	62669	56307	0	0	0	0	5000	5000	0	0	2056	2141	1693	1766	5000	5000	5000	4990	14	13	18	16	71	61	0	0
4633	baseline	2	19795	19860	24977	24694	402616	408005	57612	52441	0	0	0	0	4999	5000	1	0	2040	2144	1720	1771	4999	5000	5000	4990	14	13	16	15	61	58	0	0
4633	baseline	3	20267	19874	24815	24640	401958	407727	57960	52759	0	0	0	0	5000	5000	0	0	2100	2200	1717	1728	5000	5000	5000	4990	14	13	17	16	60	65	0	0
4634	baseline	1	16355	16706	17167	17274	438133	441042	33345	29978	0	0	0	0	5000	5000	0	0	2543	2638	1721	1697	5000	5000	5000	4990	8	7	10	10	42	40	0	0
4634	baseline	2	16691	16924	17317	17213	438377	441378	32615	29485	0	0	0	0	5000	5000	0	0	2546	2712	1716	1751	5000	5000	5000	4990	8	7	10	9	43	43	0	0
4634	baseline	3	17193	17250	17143	17315	438585	441872	32079	28563	0	0	0	0	5000	5000	0	0	2592	2693	1629	1656	5000	5000	5000	4990	8	7	10	9	43	44	0	0
4635	baseline	1	14107	14000	49115	47133	384599	392204	57179	51663	0	0	1	0	4999	5000	0	0	1846	1844	2745	2700	4999	5000	5000	4990	13	12	17	16	86	88	0	0
4635	baseline	2	14166	14071	49197	48836	388693	394013	52944	48080	0	0	1	1	4999	4999	0	0	1814	1945	2750	2810	4999	4999	5000	4990	12	11	16	15	96	98	0	0
4635	baseline	3	14436	13704	49381	48348	387652	393423	53531	49525	0	0	1	1	4999	4999	0	0	1837	1886	2756	2781	4999	4999	5000	4990	12	11	16	15	99	94	0	0
4636	baseline	1	11509	12037	33886	33683	428357	430946	31248	28334	0	0	0	0	5000	5000	0	0	2342	2289	2708	2635	5000	5000	5000	4990	7	7	10	9	71	59	0	0
4636	baseline	2	12009	11938	33711	33764	429290	431626	29990	27672	0	0	0	0	5000	5000	0	0	2300	2325	2652	2715	5000	5000	5000	4990	7	6	10	9	87	59	0	0
4636	baseline	3	11979	11959	33794	33784	430229	432985	28998	26272	0	0	0	0	5000	5000	0	0	2300	2388	2668	2713	5000	5000	5000	4990	7	6	10	9	62	65	0	0
4637	baseline	1	9659	9907	23527	23645	431680	435113	40134	36335	0	0	0	0	5000	5000	0	0	1832	1873	2332	2320	5000	5000	5000	4990	9	8	11	10	53	46	0	0
4637	baseline	2	10028	9785	23554	23540	435099	439006	36319	32669	0	0	0	0	5000	5000	0	0	1793	1870	2302	2378	5000	5000	5000	4990	8	7	11	10	50	50	0	0
4637	baseline	3	10055	9810	23518	23633	434084	437585	37343	33972	0	0	0	0	5000	5000	0	0	1788	1858	2318	2357	5000	5000	5000	4990	8	8	11	10	50	49	0	0
4638	baseline	1	8098	8263	43499	42958	431907	434405	21496	19374	0	0	0	0	5000	5000	0	0	2318	2393	3298	3277	5000	5000	5000	4990	5	4	7	7	76	93	0	0
4638	baseline	2	8418	8191	43114	42658	432440	434851	21028	19300	0	0	0	0	5000	5000	0	0	2297	2420	3235	3319	5000	5000	5000	4990	5	4	7	7	89	90	0	0
4638	baseline	3	8405	8257	43337	44271	433558	434557	19700	17915	0	0	0	1	5000	4999	0	0	2280	2487	3293	3332	5000	4999	5000	4990	4	4	7	7	71	75	0	0
4639	baseline	1	6878	6803	29905	29613	407329	414031	60888	54553	0	0	0	0	4999	5000	1	0	1069	1029	2463	2426	4999	5000	5000	4990	13	11	16	14	63	56	0	0
4639	baseline	2	6839	6918	30007	29873	409861	415183	58293	53026	0	0	0	0	4998	5000	2	0	955	1082	2365	2525	4998	5000	5000	4990	12	11	15	14	64	75	0	0
4639	baseline	3	7010	6875	30362	29669	410377	416479	57251	51977	0	0	0	0	4999	5000	1	0	1050	1083	2432	2481	4999	5000	5000	4990	12	11	15	14	62	63	0	0
