point_id	scenario	seed	final_E_adult	final_E_child	final_I_adult	final_I_child	final_R_adult	final_R_child	final_S_adult	final_S_child	integral_E_adult	integral_E_child	integral_I_adult	integral_I_child	integral_R_adult	integral_R_child	integral_S_adult	integral_S_child	peak_E_adult	peak_E_child	peak_I_adult	peak_I_child	peak_R_adult	peak_R_child	peak_S_adult	peak_S_child	tpeak_E_adult	tpeak_E_child	tpeak_I_adult	tpeak_I_child	tpeak_R_adult	tpeak_R_child	tpeak_S_adult	tpeak_S_child
2845	baseline	2	0	0	2	0	4998	5000	0	0	8519	8427	52131	51036	389556	395941	54794	49596	1276	1341	3042	3102	4998	5000	5000	4990	12	11	16	15	96	98	0	0
2845	baseline	3	0	0	1	1	4999	4999	0	0	8625	8509	52549	52252	390218	394782	53608	49457	1300	1352	3076	3093	4999	4999	5000	4990	12	11	16	14	99	94	0	0
2846	baseline	1	0	0	0	0	4999	5000	1	0	5356	5290	24238	24373	429009	432810	46397	42527	1014	1099	2470	2506	4999	5000	5000	4990	10	9	12	11	50	59	0	0
2846	baseline	2	0	0	0	0	4999	4999	1	1	5330	5368	24261	23987	432377	436468	43032	39177	1028	1047	2472	2526	4999	4999	5000	4990	9	8	11	11	50	53	0	0
2846	baseline	3	0	0	0	0	5000	5000	0	0	5405	5405	24139	24148	432734	436268	42722	39179	1058	1106	2473	2543	5000	5000	5000	4990	9	9	11	11	50	49	0	0
2847	baseline	1	5	4	2	0	4935	4981	58	15	47932	47565	10887	11256	308778	328089	137403	118090	1984	2060	443	475	4935	4981	5000	4990	31	28	30	31	97	99	0	0
2847	baseline	2	3	2	1	0	4952	4990	44	8	48356	48302	11178	11064	324203	338433	121263	107201	1964	2108	433	479	4952	4990	5000	4990	28	26	30	30	99	99	0	0
2847	baseline	3	4	0	1	0	4949	4990	46	10	47789	47956	11311	11332	335337	352190	110563	93522	2049	2178	467	501	4949	4990	5000	4990	26	23	27	25	100	98	0	0
2848	baseline	1	0	0	24	29	4976	4971	0	0	29361	30196	80281	78168	338055	345185	57303	51451	2703	2804	2741	2674	4976	4971	5000	4990	14	13	21	20	100	100	0	0
2848	baseline	2	0	0	20	24	4980	4976	0	0	30801	30045	78434	78445	345028	351033	50737	45477	2728	2827	2634	2746	4980	4976	5000	4990	12	11	19	19	99	100	0	0
2848	baseline	3	0	0	32	29	4968	4971	0	0	31282	30864	79283	79371	344327	349708	50108	45057	2765	2847	2631	2646	4968	4971	5000	4990	12	11	20	19	100	100	0	0
2849	baseline	1	0	0	0	0	5000	5000	0	0	18588	18950	37016	36735	407974	412716	41422	36599	2489	2578	2359	2366	5000	5000	5000	4990	10	9	13	12	78	68	0	0
2849	baseline	2	0	0	0	0	5000	5000	0	0	19151	18951	36976	36763	410169	414906	38704	34380	2505	2555	2309	2357	5000	5000	5000	4990	9	8	13	13	88	67	0	0
2849	baseline	3	0	0	0	0	5000	5000	0	0	19389	19520	37254	37214	410281	413643	38076	34623	2522	2572	2331	2320	5000	5000	5000	4990	9	9	13	12	71	88	0	0
2850	baseline	1	0	0	0	0	5000	5000	0	0	11822	12215	17380	17165	444172	446803	31626	28817	2299	2295	1964	1910	5000	5000	5000	4990	7	7	9	9	42	37	0	0
